Serial_No.,Frequency_Hz,Magnitude_dB,Phase_theta,V_out
1,50,-4.34E-09,-0.00181185,10
2,149,-3.78E-08,-0.00534715,10
3,438,-3.29E-07,-0.0157806,10
4,1294,-2.87E-06,-0.0465717,10
5,3818,-2.50E-05,-0.137443,10
6,11267,-0.000217436,-0.405616,9.9997
7,33252,-0.001893432,-1.19691,9.9978
8,98134,-0.01646342,-3.52837,9.9811
9,289614,-0.1413372,-10.3134,9.8386
10,854713,-1.099534,-28.2394,8.811
11,2522440,-5.45226,-57.766,5.3381
12,7444240,-13.5899,-77.9657,2.0917
13,21969500,-22.8184,-85.898,0.72291
14,64836600,-32.1982,-88.6381,0.24552
15,191346000,-41.5958,-89.5686,0.083216
